nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000090	Armin Mueller-Stahl	1930	\N	actor,miscellaneous,director	tt0765443,tt0117631,tt0963178,tt0139809
nm0000092	John Cleese	1939	\N	actor,writer,producer	tt0095159,tt0071853,tt0072500,tt0063929
nm0000096	Gillian Anderson	1968	\N	actress,miscellaneous,producer	tt0106179,tt2294189,tt0455590,tt0442632
nm0000099	Patricia Arquette	1968	\N	actress,producer,director	tt0108399,tt1065073,tt0412175,tt0145531
nm0000105	Adrienne Barbeau	1945	\N	actress,soundtrack,writer	tt0082340,tt0080749,tt0090685,tt0083767
nm0000110	Kenneth Branagh	1960	\N	actor,producer,director	tt0107616,tt0097499,tt0116477,tt3402236
nm0000114	Steve Buscemi	1957	\N	actor,director,producer	tt0116282,tt0162346,tt4686844,tt0105236
nm0000117	Neve Campbell	1973	\N	actress,producer,writer	tt0117571,tt0120082,tt0134084,tt0120890
nm0000119	Tia Carrere	\N	\N	actress,soundtrack,producer	tt0105793,tt0275847,tt0111503,tt0207919
nm0000132	Claire Danes	1979	\N	actress,producer,miscellaneous	tt0108872,tt1796960,tt0117509,tt0274558
nm0000145	Sherilyn Fenn	1965	\N	actress,soundtrack,archive_footage	tt0105046,tt0100935,tt0106471,tt0098936
nm0000150	Michael J. Fox	1961	\N	actor,producer,miscellaneous	tt0088763,tt0096874,tt0116365,tt0115369
nm0000153	Gina Gershon	1962	\N	actress,producer,writer	tt0115736,tt1726669,tt0114436,tt0119094
nm0000155	Whoopi Goldberg	1955	\N	actress,producer,writer	tt0105417,tt0099653,tt0088939,tt0108147
nm0000157	Linda Hamilton	1956	\N	actress,soundtrack,archive_footage	tt0103064,tt6450804,tt0088247,tt0118928
nm0000162	Anne Heche	1969	2022	actress,producer,writer	tt0120828,tt0119008,tt0120885,tt0120461
nm0000164	Anthony Hopkins	1937	\N	actor,composer,producer	tt0102926,tt0412080,tt0975645,tt0113987
nm0000178	Diane Lane	1965	\N	actress,soundtrack,archive_footage	tt0250797,tt0328589,tt0086066,tt2096673
nm0000182	Jennifer Lopez	1969	\N	music_artist,producer,actress	tt5503686,tt2126357,tt0120780,tt0252076
nm0000205	Parker Posey	1968	\N	actress,producer,writer	tt0348150,tt0134084,tt0359013,tt0106677
nm0000207	Christina Ricci	1980	\N	actress,producer,soundtrack	tt0118789,tt0112642,tt0101272,tt0100140
nm0000211	Mimi Rogers	1956	\N	actress,producer,soundtrack	tt0210070,tt0120738,tt0488085,tt0118655
nm0000213	Winona Ryder	1971	\N	actress,producer,director	tt0103874,tt0118583,tt0110367,tt0100140
nm0000221	Charlie Sheen	1965	\N	actor,producer,writer	tt0369179,tt0108333,tt0094291,tt0107144
nm0000225	Christian Slater	1969	\N	actor,producer,director	tt0124198,tt0108399,tt0102798,tt0115759
nm0000228	Kevin Spacey	1959	\N	actor,producer,writer	tt0119488,tt0114814,tt0169547,tt0114369
nm0000235	Uma Thurman	1970	\N	actress,producer,writer	tt0266697,tt0378194,tt0110912,tt0118688
nm0000257	Alan Alda	1936	\N	actor,miscellaneous,writer	tt0068098,tt0082405,tt0097123,tt7653254
nm0000276	Sean Astin	1971	\N	actor,producer,director	tt0167261,tt0167260,tt0120737,tt0089218
nm0000283	Brenda Bakke	1963	\N	actress,archive_footage	tt0119488,tt0107144,tt0114608,tt0114781
nm0000284	Adam Baldwin	1962	\N	actor,soundtrack,archive_footage	tt0379786,tt0116629,tt0093058,tt0187393
nm0000293	Sean Bean	1959	\N	actor,producer,animation_department	tt0120737,tt1181791,tt0332452,tt0167261
nm0000298	Candice Bergen	1946	\N	actress,producer,soundtrack	tt0212346,tt0901476,tt0094514,tt0402711
nm0000299	Michael Biehn	1956	\N	actor,producer,director	tt0090605,tt0088247,tt0096754,tt0117500
nm0000307	Helena Bonham Carter	1966	\N	actress,producer,director	tt0408236,tt1707386,tt0137523,tt1504320
nm0000312	Amy Brenneman	1964	\N	actress,producer,writer	tt0209069,tt0113277,tt0116287,tt0116040
nm0000317	Clancy Brown	1959	\N	actor,producer,miscellaneous	tt0111161,tt0120201,tt3501632,tt0409847
nm0000319	Yancy Butler	1970	\N	actress,producer	tt0107076,tt1650554,tt0274298,tt1250777
nm0000321	Gabriel Byrne	1950	\N	actor,producer,writer	tt0114814,tt0146675,tt7784604,tt0100150
nm0000328	Richard Chamberlain	1934	2025	actor,producer,soundtrack	tt0072308,tt0076299,tt0085101,tt0073012
nm0000330	Stockard Channing	1944	\N	actress,soundtrack,archive_footage	tt0120791,tt0077631,tt0108149,tt0198021
nm0000331	Chevy Chase	1943	\N	actor,writer,producer	tt0104850,tt0085995,tt0080487,tt0102558
nm0000335	Glenn Close	1947	\N	actress,producer,miscellaneous	tt0093010,tt3750872,tt2015381,tt0094947
nm0000337	Rachael Leigh Cook	1979	\N	actress,producer,writer	tt0160862,tt11100856,tt5659816,tt0331811
nm0000342	James Cromwell	1940	\N	actor,producer,soundtrack	tt0119488,tt0120689,tt0343818,tt0398165
nm0000344	Denise Crosby	\N	\N	actress,producer,archive_footage	tt0098084,tt0097889,tt0104119,tt0120647
nm0000347	Tim Curry	1946	\N	actor,producer,miscellaneous	tt0112715,tt0117110,tt0088930,tt0073629
nm0000357	Lolita Davidovich	1961	\N	actress,archive_footage	tt0329717,tt0096943,tt0092513,tt0110146
nm0000363	Loren Dean	1969	\N	actor,soundtrack,archive_footage	tt2935510,tt7959026,tt0112384,tt0119177
nm0000368	Laura Dern	1967	\N	actress,producer,writer	tt0107290,tt7653254,tt0090756,tt2305051
nm0000373	Michael Dorn	1952	\N	actor,director,writer	tt0092455,tt0117731,tt0120844,tt0111280
nm0000374	Brad Dourif	1950	\N	actor,archive_footage,archive_sound	tt0167261,tt0073486,tt0094862,tt0087182
nm0000383	Jennifer Ehle	1969	\N	actress,archive_footage	tt1790885,tt2392830,tt4919484,tt0112130
nm0000387	Robert Englund	1947	\N	actor,miscellaneous,director	tt0087800,tt0095742,tt0093629,tt0329101
nm0000401	Laurence Fishburne	1961	\N	actor,producer,director	tt0133093,tt1598778,tt0478087,tt0234215
nm0000402	Carrie Fisher	1956	2016	actress,miscellaneous,writer	tt0076759,tt2527336,tt0086190,tt0080684
nm0000405	Michelle Forbes	1965	\N	actress,archive_footage,archive_sound	tt0107302,tt0844441,tt0116225,tt1951266
nm0000408	Jonathan Frakes	1952	\N	actor,director,producer	tt0117731,tt0120844,tt0111280,tt0253754
nm0000410	Stephen Fry	1957	\N	actor,producer,writer	tt0280707,tt0434409,tt0120514,tt0371724
nm0000413	Janeane Garofalo	1964	\N	actress,writer,producer	tt0132347,tt0117979,tt0382932,tt0243655
nm0000417	Crispin Glover	\N	\N	actor,director,writer	tt3511524,tt0310357,tt0091860,tt7972570
nm0000418	Danny Glover	1946	\N	actor,producer,director	tt0093409,tt0104714,tt0122151,tt0097733
nm0000422	John Goodman	1952	\N	actor,producer,soundtrack	tt1179933,tt0101410,tt1024648,tt1907668
nm0000430	Steve Guttenberg	1958	\N	actor,producer,director	tt0094137,tt0091949,tt0087928,tt0098966
nm0000434	Mark Hamill	\N	\N	actor,producer,miscellaneous	tt0076759,tt2527336,tt0086190,tt0080684
nm0000438	Ed Harris	1950	\N	actor,producer,director	tt0800308,tt0183659,tt0120382,tt0112384
nm0000439	Neil Patrick Harris	1973	\N	actor,producer,writer	tt4834206,tt0460649,tt2267998,tt0120201
nm0000447	Marilu Henner	1952	\N	actress,miscellaneous,producer	tt0102250,tt0077089,tt0105017,tt0087507
nm0000448	Lance Henriksen	1940	\N	actor,producer,miscellaneous	tt0107076,tt0090605,tt0370263,tt0103644
nm0000452	Lauren Holly	\N	\N	actress,producer,writer	tt0109686,tt0103512,tt0106770,tt0116130
nm0000459	Timothy Hutton	1960	\N	actor,producer,director	tt0081283,tt1103987,tt0115639,tt0343737
nm0000461	Michael Ironside	1950	\N	actor,producer,writer	tt0120201,tt0100802,tt0081455,tt0092099
nm0000462	Kate Jackson	1948	\N	actress,producer,director	tt0085088,tt0073972,tt0084293,tt0059978
nm0000463	Famke Janssen	1964	\N	actress,producer,costume_department	tt0376994,tt0113189,tt0120903,tt0185371
nm0000469	James Earl Jones	1931	2024	actor,soundtrack,archive_footage	tt3748528,tt6105098,tt0097351,tt0099810
nm0000475	Patsy Kensit	1968	\N	actress,composer,soundtrack	tt0097733,tt0090585,tt0071577,tt0079268
nm0000476	Sally Kirkland	1941	2025	actress,producer,miscellaneous	tt0092569,tt0070735,tt0102138,tt3216866
nm0000477	Mia Kirshner	1975	\N	actress,archive_footage	tt0277371,tt0387877,tt0109759,tt0320244
nm0000483	Christopher Lambert	1957	\N	actor,producer,miscellaneous	tt0091203,tt0113855,tt0090095,tt0106950
