tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0070123	tvEpisode	The Goodies and the Beanstalk	The Goodies and the Beanstalk	0	1973	\N	43	Comedy
tt0073062	tvEpisode	Special: Goodies Rule OK?	Special: Goodies Rule OK?	0	1975	\N	49	Comedy
tt0115922	tvEpisode	Pilot	Pilot	0	1997	\N	51	Comedy,Drama,Romance
tt0124275	tvEpisode	Brotherly Love	Brotherly Love	0	1990	\N	90	Comedy,Drama
tt0278910	tvEpisode	1983 Special	1983 Special	0	1983	\N	90	Comedy,Drama
tt0278911	tvEpisode	1985 Special	1985 Special	0	1985	\N	90	Comedy,Drama
tt0418494	tvEpisode	Innan frosten	Innan frosten	0	2005	\N	89	Crime,Drama,Mystery
tt0452716	tvEpisode	Welcome to the Hellmouth	Welcome to the Hellmouth	0	1997	\N	43	Action,Adventure,Drama
tt0472575	tvEpisode	Byfånen	Byfånen	0	2005	\N	92	Crime,Drama,Mystery
tt0477197	tvEpisode	Bröderna	Bröderna	0	2005	\N	90	Crime,Drama,Mystery
tt0491230	tvEpisode	Afrikanen	Afrikanen	0	2005	\N	88	Crime,Drama,Mystery
tt0491231	tvEpisode	Mörkret	Mörkret	0	2005	\N	89	Crime,Drama,Mystery
tt0495914	tvEpisode	Mastermind	Mastermind	0	2005	\N	98	Crime,Drama,Mystery
tt0509000	tvEpisode	...The Healing Touch	...The Healing Touch	0	1988	\N	54	Comedy,Drama
tt0509001	tvEpisode	A Cat in Hull's Chance	A Cat in Hull's Chance	0	1990	\N	49	Comedy,Drama
tt0509002	tvEpisode	A Dog's Life	A Dog's Life	0	1978	\N	51	Comedy,Drama
tt0509003	tvEpisode	A Dying Breed	A Dying Breed	0	1980	\N	51	Comedy,Drama
tt0509004	tvEpisode	A Friend for Life	A Friend for Life	0	1990	\N	49	Comedy,Drama
tt0509005	tvEpisode	A Grand Memory for Forgetting	A Grand Memory for Forgetting	0	1990	\N	49	Comedy,Drama
tt0509006	tvEpisode	A New Chapter	A New Chapter	0	1988	\N	49	Comedy,Drama
tt0509007	tvEpisode	A Present from Dublin	A Present from Dublin	0	1988	\N	49	Comedy,Drama
tt0509008	tvEpisode	Ace, King, Queen, Jack	Ace, King, Queen, Jack	0	1988	\N	54	Comedy,Drama
tt0509009	tvEpisode	Advice & Consent	Advice & Consent	0	1978	\N	50	Comedy,Drama
tt0509010	tvEpisode	Against the Odds	Against the Odds	0	1988	\N	49	Comedy,Drama
tt0509011	tvEpisode	Alarms & Excursions	Alarms & Excursions	0	1980	\N	51	Comedy,Drama
tt0509012	tvEpisode	Attendant Problems	Attendant Problems	0	1978	\N	49	Comedy,Drama
tt0509013	tvEpisode	Barks and Bites	Barks and Bites	0	1988	\N	54	Comedy,Drama
tt0509014	tvEpisode	Be Prepared	Be Prepared	0	1980	\N	\N	Comedy,Drama
tt0509015	tvEpisode	Big Fish, Little Fish	Big Fish, Little Fish	0	1989	\N	49	Comedy,Drama
tt0509016	tvEpisode	Big Steps and Little 'Uns	Big Steps and Little 'Uns	0	1980	\N	53	Comedy,Drama
tt0509017	tvEpisode	Blood and Water	Blood and Water	0	1989	\N	49	Comedy,Drama
tt0509018	tvEpisode	Breath of Life	Breath of Life	0	1978	\N	52	Comedy,Drama
tt0509019	tvEpisode	Brink of Disaster	Brink of Disaster	0	1980	\N	50	Comedy,Drama
tt0509020	tvEpisode	Bulldog Breed	Bulldog Breed	0	1978	\N	49	Comedy,Drama
tt0509021	tvEpisode	Calf Love	Calf Love	0	1978	\N	50	Comedy,Drama
tt0509022	tvEpisode	Cats and Dogs	Cats and Dogs	0	1978	\N	51	Comedy,Drama
tt0509023	tvEpisode	Charity Begins at Home	Charity Begins at Home	0	1980	\N	51	Comedy,Drama
tt0509024	tvEpisode	Cheques and Balances	Cheques and Balances	0	1988	\N	49	Comedy,Drama
tt0509025	tvEpisode	Choose a Bright Morning	Choose a Bright Morning	0	1988	\N	49	Comedy,Drama
tt0509026	tvEpisode	City Slicker	City Slicker	0	1988	\N	54	Comedy,Drama
tt0509027	tvEpisode	Dog Days	Dog Days	0	1978	\N	50	Comedy,Drama
tt0509028	tvEpisode	Every Dog His Day...	Every Dog His Day...	0	1980	\N	\N	Comedy,Drama
tt0509029	tvEpisode	Faint Hearts	Faint Hearts	0	1978	\N	51	Comedy,Drama
tt0509030	tvEpisode	Fair Means and Fowl	Fair Means and Fowl	0	1978	\N	51	Comedy,Drama
tt0509031	tvEpisode	Food for Thought	Food for Thought	0	1990	\N	49	Comedy,Drama
tt0509032	tvEpisode	For Richer, for Poorer	For Richer, for Poorer	0	1988	\N	54	Comedy,Drama
tt0509033	tvEpisode	Golden Lads and Girls	Golden Lads and Girls	0	1978	\N	51	Comedy,Drama
tt0509034	tvEpisode	Hail Caesar!	Hail Caesar!	0	1988	\N	54	Comedy,Drama
tt0509035	tvEpisode	Hair of the Dog	Hair of the Dog	0	1980	\N	51	Comedy,Drama
tt0509036	tvEpisode	Hampered	Hampered	0	1990	\N	49	Comedy,Drama
tt0509037	tvEpisode	Here and There	Here and There	0	1989	\N	49	Comedy,Drama
tt0509038	tvEpisode	Home and Away	Home and Away	0	1980	\N	51	Comedy,Drama
tt0509039	tvEpisode	Horse Sense	Horse Sense	0	1978	\N	51	Comedy,Drama
tt0509040	tvEpisode	If Music Be the Food of Love	If Music Be the Food of Love	0	1990	\N	49	Comedy,Drama
tt0509041	tvEpisode	If Wishes Were Horses	If Wishes Were Horses	0	1980	\N	52	Comedy,Drama
tt0509042	tvEpisode	In Whom We Trust	In Whom We Trust	0	1989	\N	49	Comedy,Drama
tt0509043	tvEpisode	It Takes All Kinds	It Takes All Kinds	0	1978	\N	48	Comedy,Drama
tt0509044	tvEpisode	Judgement Day	Judgement Day	0	1978	\N	51	Comedy,Drama
tt0509045	tvEpisode	Knowin' How to Do It	Knowin' How to Do It	0	1990	\N	49	Comedy,Drama
tt0509046	tvEpisode	Matters of Life and Death	Matters of Life and Death	0	1980	\N	51	Comedy,Drama
tt0509047	tvEpisode	Mending Fences	Mending Fences	0	1989	\N	49	Comedy,Drama
tt0509048	tvEpisode	Merry Gentlemen	Merry Gentlemen	0	1978	\N	51	Comedy,Drama
tt0509049	tvEpisode	Nothing Like Experience	Nothing Like Experience	0	1978	\N	49	Comedy,Drama
tt0509050	tvEpisode	Old Dogs, New Tricks	Old Dogs, New Tricks	0	1990	\N	49	Comedy,Drama
tt0509051	tvEpisode	One of Nature's Little Miracles	One of Nature's Little Miracles	0	1988	\N	54	Comedy,Drama
tt0509052	tvEpisode	Only One Woof	Only One Woof	0	1988	\N	54	Comedy,Drama
tt0509053	tvEpisode	Out of Practice	Out of Practice	0	1978	\N	50	Comedy,Drama
tt0509054	tvEpisode	Out with the New	Out with the New	0	1990	\N	49	Comedy,Drama
tt0509055	tvEpisode	Pig in the Middle	Pig in the Middle	0	1980	\N	51	Comedy,Drama
tt0509056	tvEpisode	Place of Honour	Place of Honour	0	1988	\N	48	Comedy,Drama
tt0509057	tvEpisode	Plenty to Grouse About	Plenty to Grouse About	0	1979	\N	52	Comedy,Drama
tt0509058	tvEpisode	Practice Makes Perfect	Practice Makes Perfect	0	1978	\N	50	Comedy,Drama
tt0509059	tvEpisode	Pride of Possession	Pride of Possession	0	1978	\N	50	Comedy,Drama
tt0509060	tvEpisode	Promises to Keep	Promises to Keep	0	1990	\N	49	Comedy,Drama
tt0509061	tvEpisode	Puppy Love	Puppy Love	0	1978	\N	50	Comedy,Drama
tt0509062	tvEpisode	Pups, Pigs and Pickle	Pups, Pigs and Pickle	0	1978	\N	52	Comedy,Drama
