nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000102	Kevin Bacon	1958	\N	actor,producer,director	tt0087277,tt0164052,tt0361127,tt0327056
nm0000141	David Duchovny	1960	\N	actor,producer,writer	tt0106179,tt0120902,tt0904208,tt0443701
nm0000149	Jodie Foster	1962	\N	actress,producer,director	tt0102926,tt0476964,tt0075314,tt0094608
nm0000165	Ron Howard	1954	\N	producer,actor,writer	\N
nm0000175	Stephen King	1947	\N	writer,producer,actor	tt0091499,tt0083767,tt0105428,tt0111161
nm0000184	George Lucas	1944	\N	writer,producer,director	tt0076759,tt0066434,tt0069704,tt0082971
nm0000243	Denzel Washington	1954	\N	actor,producer,director	tt2671706,tt1037705,tt0168786,tt0139654
nm0000276	Sean Astin	1971	\N	actor,producer,director	tt0167261,tt0167260,tt0120737,tt0089218
nm0000318	Tim Burton	1958	\N	producer,writer,miscellaneous	tt0099487,tt1142977,tt0121164,tt0408236
nm0000341	Michael Crichton	1942	2008	writer,producer,director	tt0107290,tt0117998,tt0070909,tt0108757
nm0000399	David Fincher	1962	\N	producer,director,writer	tt0114369,tt2267998,tt0443706,tt1285016
nm0000408	Jonathan Frakes	1952	\N	actor,director,producer	tt0117731,tt0120844,tt0111280,tt0253754
nm0000439	Neil Patrick Harris	1973	\N	actor,producer,writer	tt4834206,tt0460649,tt2267998,tt0120201
nm0000530	Andrew McCarthy	1962	\N	actor,director,producer	tt2372162,tt2741602,tt0091790,tt0098627
nm0000536	Robert Duncan McNeill	1964	\N	director,producer,actor	tt8690918,tt0112178,tt0934814,tt2817246
nm0000563	Chris O'Donnell	1970	\N	actor,producer,director	tt0118688,tt0105323,tt0108333,tt0190865
nm0000594	Jason Priestley	1969	\N	actor,producer,director	tt0098749,tt1558182,tt2334593,tt5722298
nm0000655	Eric Stoltz	\N	\N	actor,producer,director	tt0110912,tt0089560,tt0289879,tt0110367
nm0000670	Lea Thompson	1961	\N	actress,director,producer	tt0088763,tt5039578,tt1727381,tt1758772
nm0000693	Peter Weller	1947	\N	actor,director,writer	tt0093870,tt0102511,tt0097737,tt0100502
nm0000705	Robin Wright	1966	\N	actress,producer,director	tt0109830,tt0442933,tt0217869,tt0093779
nm0000717	Kareem Abdul-Jabbar	1947	\N	actor,producer,writer	tt0080339,tt11564570,tt0089155,tt0113097
