tconst	ordering	nconst	category	job	characters
tt0070123	1	nm0111756	actor	\N	["Tim Brooke-Taylor"]
tt0070123	2	nm0306660	actor	\N	["Graeme Garden"]
tt0070123	3	nm0643919	actor	\N	["Bill Oddie"]
tt0070123	4	nm0060023	actor	\N	["The Giant"]
tt0070123	5	nm0912250	actor	\N	["Eddie Waring"]
tt0070123	6	nm0000092	actor	\N	["The Genie"]
tt0070123	7	nm0940102	actor	\N	["Newsreader"]
tt0070123	8	nm0108788	actor	\N	\N
tt0070123	9	nm0759808	actress	\N	\N
tt0070123	10	nm0365404	actress	\N	\N
tt0073062	1	nm0111756	actor	\N	["Tim Brooke-Taylor"]
tt0073062	2	nm0306660	actor	\N	["Graeme Garden"]
tt0073062	3	nm0643919	actor	\N	["Bill Oddie"]
tt0073062	5	nm0085650	actor	\N	["Tony Blackburn"]
tt0073062	6	nm0492534	actress	\N	["Sue Lawley"]
tt0073062	7	nm0601716	actor	\N	["Patrick Moore"]
tt0073062	8	nm0912250	actor	\N	["Eddie Waring"]
tt0073062	9	nm0937369	actor	\N	["Terry Wogan"]
tt0073062	10	nm0940102	actor	\N	["Newsreader"]
tt0115922	1	nm0626362	actor	\N	["Adam Williams"]
tt0115922	2	nm0062636	actress	\N	["Rachel Bradley"]
tt0115922	3	nm0861027	actor	\N	["Pete Gifford"]
tt0115922	4	nm0728004	actress	\N	["Jenny Gifford"]
tt0115922	5	nm0061106	actor	\N	["David Marsden"]
tt0115922	6	nm0635820	actress	\N	["Karen Marsden"]
tt0115922	7	nm0544577	actor	\N	["Simon Atkinson"]
tt0115922	8	nm0402519	actress	\N	["Pru"]
tt0115922	9	nm0341086	actor	\N	["Andrew"]
tt0115922	10	nm0028762	actor	\N	["Howard"]
tt0124275	1	nm0863790	actor	\N	["James Herriot"]
tt0124275	2	nm0362735	actor	\N	["Siegfried Farnon"]
tt0124275	3	nm0205749	actor	\N	["Tristan Farnon"]
tt0124275	4	nm0069019	actress	\N	["Helen Herriot"]
tt0124275	5	nm0382402	actress	\N	["Mrs Alton"]
tt0124275	6	nm0789070	actor	\N	["Mr. Biggins"]
tt0124275	7	nm0255183	actor	\N	["Jonathan Bradley"]
tt0124275	8	nm0515337	actor	\N	["David Bradley"]
tt0124275	9	nm0420923	actress	\N	["Mrs Bradley"]
tt0124275	10	nm0755529	actress	\N	["Linda Marston"]
tt0278910	1	nm0863790	actor	\N	["James Herriot"]
tt0278910	2	nm0362735	actor	\N	["Siegfried Farnon"]
tt0278910	3	nm0205749	actor	\N	["Tristan Farnon"]
